"","x","z"
"1311",11,27
"1312",12,27
"1313",13,27
"1314",14,27
"1315",15,27
"1316",16,27
"1317",17,27
"1318",18,27
"1319",19,27
"1320",20,27
"1321",21,27
"1322",22,27
"1323",23,27
"1324",24,27
"1325",25,27
"1326",26,27
"1327",27,27
"1328",28,27
"1329",29,27
"1330",30,27
"1331",31,27
"1332",32,27
"1333",33,27
"1334",34,27
"1335",35,27
"1336",36,27
"1337",37,27
"1338",38,27
"1339",39,27
"1340",40,27
"1341",41,27
"1342",42,27
"1343",43,27
"1344",44,27
"1345",45,27
"1346",46,27
"1347",47,27
"1348",48,27
"1349",49,27
"1350",50,27
"1351",1,28
"1352",2,28
"1353",3,28
"1354",4,28
"1355",5,28
"1356",6,28
"1357",7,28
"1358",8,28
"1359",9,28
"1360",10,28
"1361",11,28
"1362",12,28
"1363",13,28
"1364",14,28
"1365",15,28
"1366",16,28
"1367",17,28
"1368",18,28
"1369",19,28
"1370",20,28
"1371",21,28
"1372",22,28
"1373",23,28
"1374",24,28
"1375",25,28
"1376",26,28
"1377",27,28
"1378",28,28
"1379",29,28
"1380",30,28
"1381",31,28
"1382",32,28
"1383",33,28
"1384",34,28
"1385",35,28
"1386",36,28
"1387",37,28
"1388",38,28
"1389",39,28
"1390",40,28
"1391",41,28
"1392",42,28
"1393",43,28
"1394",44,28
"1395",45,28
"1396",46,28
"1397",47,28
"1398",48,28
"1399",49,28
"1400",50,28
"1401",1,29
"1402",2,29
"1403",3,29
"1404",4,29
"1405",5,29
"1406",6,29
"1407",7,29
"1408",8,29
"1409",9,29
"1410",10,29
"1411",11,29
"1412",12,29
"1413",13,29
"1414",14,29
"1415",15,29
"1416",16,29
"1417",17,29
"1418",18,29
"1419",19,29
"1420",20,29
"1421",21,29
"1422",22,29
"1423",23,29
"1424",24,29
"1425",25,29
"1426",26,29
"1427",27,29
"1428",28,29
"1429",29,29
"1430",30,29
"1431",31,29
"1432",32,29
"1433",33,29
"1434",34,29
"1435",35,29
"1436",36,29
"1437",37,29
"1438",38,29
"1439",39,29
"1440",40,29
"1441",41,29
"1442",42,29
"1443",43,29
"1444",44,29
"1445",45,29
"1446",46,29
"1447",47,29
"1448",48,29
"1449",49,29
"1450",50,29
"1451",1,30
"1452",2,30
"1453",3,30
"1454",4,30
"1455",5,30
"1456",6,30
"1457",7,30
"1458",8,30
"1459",9,30
"1460",10,30
"1461",11,30
"1462",12,30
"1463",13,30
"1464",14,30
"1465",15,30
"1466",16,30
"1467",17,30
"1468",18,30
"1469",19,30
"1470",20,30
"1471",21,30
"1472",22,30
"1473",23,30
"1474",24,30
"1475",25,30
"1476",26,30
"1477",27,30
"1478",28,30
"1479",29,30
"1480",30,30
"1481",31,30
"1482",32,30
"1483",33,30
"1484",34,30
"1485",35,30
"1486",36,30
"1487",37,30
"1488",38,30
"1489",39,30
"1490",40,30
"1491",41,30
"1492",42,30
"1493",43,30
"1494",44,30
"1495",45,30
"1496",46,30
"1497",47,30
"1498",48,30
"1499",49,30
"1500",50,30
"1501",1,31
"1502",2,31
"1503",3,31
"1504",4,31
"1505",5,31
"1506",6,31
"1507",7,31
"1508",8,31
"1509",9,31
"1510",10,31
"1511",11,31
"1512",12,31
"1513",13,31
"1514",14,31
"1515",15,31
"1516",16,31
"1517",17,31
"1518",18,31
"1519",19,31
"1520",20,31
"1521",21,31
"1522",22,31
"1523",23,31
"1524",24,31
"1525",25,31
"1526",26,31
"1527",27,31
"1528",28,31
"1529",29,31
"1530",30,31
"1531",31,31
"1532",32,31
"1533",33,31
"1534",34,31
"1535",35,31
"1536",36,31
"1537",37,31
"1538",38,31
"1539",39,31
"1540",40,31
"1541",41,31
"1542",42,31
"1543",43,31
"1544",44,31
"1545",45,31
"1546",46,31
"1547",47,31
"1548",48,31
"1549",49,31
"1550",50,31
"1551",1,32
"1552",2,32
"1553",3,32
"1554",4,32
"1555",5,32
"1556",6,32
"1557",7,32
"1558",8,32
"1559",9,32
"1560",10,32
"1561",11,32
"1562",12,32
"1563",13,32
"1564",14,32
"1565",15,32
"1566",16,32
"1567",17,32
"1568",18,32
"1569",19,32
"1570",20,32
"1571",21,32
"1572",22,32
"1573",23,32
"1574",24,32
"1575",25,32
"1576",26,32
"1577",27,32
"1578",28,32
"1579",29,32
"1580",30,32
"1581",31,32
"1582",32,32
"1583",33,32
"1584",34,32
"1585",35,32
"1586",36,32
"1587",37,32
"1588",38,32
"1589",39,32
"1590",40,32
"1591",41,32
"1592",42,32
"1593",43,32
"1594",44,32
"1595",45,32
"1596",46,32
"1597",47,32
"1598",48,32
"1599",49,32
"1600",50,32
"1601",1,33
"1602",2,33
"1603",3,33
"1604",4,33
"1605",5,33
"1606",6,33
"1607",7,33
"1608",8,33
"1609",9,33
"1610",10,33
"1611",11,33
"1612",12,33
"1613",13,33
"1614",14,33
"1615",15,33
"1616",16,33
"1617",17,33
"1618",18,33
"1619",19,33
"1620",20,33
"1621",21,33
"1622",22,33
"1623",23,33
"1624",24,33
"1625",25,33
"1626",26,33
"1627",27,33
"1628",28,33
"1629",29,33
"1630",30,33
"1631",31,33
"1632",32,33
"1633",33,33
"1634",34,33
"1635",35,33
"1636",36,33
"1637",37,33
"1638",38,33
"1639",39,33
"1640",40,33
"1641",41,33
"1642",42,33
"1643",43,33
"1644",44,33
"1645",45,33
"1646",46,33
"1647",47,33
"1648",48,33
"1649",49,33
"1650",50,33
"1651",1,34
"1652",2,34
"1653",3,34
"1654",4,34
"1655",5,34
"1656",6,34
"1657",7,34
"1658",8,34
"1659",9,34
"1660",10,34
"1661",11,34
"1662",12,34
"1663",13,34
"1664",14,34
"1665",15,34
"1666",16,34
"1667",17,34
"1668",18,34
"1669",19,34
"1670",20,34
"1671",21,34
"1672",22,34
"1673",23,34
"1674",24,34
"1675",25,34
"1676",26,34
"1677",27,34
"1678",28,34
"1679",29,34
"1680",30,34
"1681",31,34
"1682",32,34
"1683",33,34
"1684",34,34
"1685",35,34
"1686",36,34
"1687",37,34
"1688",38,34
"1689",39,34
"1690",40,34
"1691",41,34
"1692",42,34
"1693",43,34
"1694",44,34
"1695",45,34
"1696",46,34
"1697",47,34
"1698",48,34
"1699",49,34
"1700",50,34
"1701",1,35
"1702",2,35
"1703",3,35
"1704",4,35
"1705",5,35
"1706",6,35
"1707",7,35
"1708",8,35
"1709",9,35
"1710",10,35
"1711",11,35
"1712",12,35
"1713",13,35
"1714",14,35
"1715",15,35
"1716",16,35
"1717",17,35
"1718",18,35
"1719",19,35
"1720",20,35
"1721",21,35
"1722",22,35
"1723",23,35
"1724",24,35
"1725",25,35
"1726",26,35
"1727",27,35
"1728",28,35
"1729",29,35
"1730",30,35
"1731",31,35
"1732",32,35
"1733",33,35
"1734",34,35
"1735",35,35
"1736",36,35
"1737",37,35
"1738",38,35
"1739",39,35
"1740",40,35
"1741",41,35
"1742",42,35
"1743",43,35
"1744",44,35
"1745",45,35
"1746",46,35
"1747",47,35
"1748",48,35
"1749",49,35
"1750",50,35
"1751",1,36
"1752",2,36
"1753",3,36
"1754",4,36
"1755",5,36
"1756",6,36
"1757",7,36
"1758",8,36
"1759",9,36
"1760",10,36
"1761",11,36
"1762",12,36
"1763",13,36
"1764",14,36
"1765",15,36
"1766",16,36
"1767",17,36
"1768",18,36
"1769",19,36
"1770",20,36
"1771",21,36
"1772",22,36
"1773",23,36
"1774",24,36
"1775",25,36
"1776",26,36
"1777",27,36
"1778",28,36
"1779",29,36
"1780",30,36
"1781",31,36
"1782",32,36
"1783",33,36
"1784",34,36
"1785",35,36
"1786",36,36
"1787",37,36
"1788",38,36
"1789",39,36
"1790",40,36
"1791",41,36
"1792",42,36
"1793",43,36
"1794",44,36
"1795",45,36
"1796",46,36
"1797",47,36
"1798",48,36
"1799",49,36
"1800",50,36
"1801",1,37
"1802",2,37
"1803",3,37
"1804",4,37
"1805",5,37
"1806",6,37
"1807",7,37
"1808",8,37
"1809",9,37
"1810",10,37
"1811",11,37
"1812",12,37
"1813",13,37
"1814",14,37
"1815",15,37
"1816",16,37
"1817",17,37
"1818",18,37
"1819",19,37
"1820",20,37
"1821",21,37
"1822",22,37
"1823",23,37
"1824",24,37
"1825",25,37
"1826",26,37
"1827",27,37
"1828",28,37
"1829",29,37
"1830",30,37
"1831",31,37
"1832",32,37
"1833",33,37
"1834",34,37
"1835",35,37
"1836",36,37
"1837",37,37
"1838",38,37
"1839",39,37
"1840",40,37
"1841",41,37
"1842",42,37
"1843",43,37
"1844",44,37
"1845",45,37
"1846",46,37
"1847",47,37
"1848",48,37
"1849",49,37
"1850",50,37
"1851",1,38
"1852",2,38
"1853",3,38
"1854",4,38
"1855",5,38
"1856",6,38
"1857",7,38
"1858",8,38
"1859",9,38
"1860",10,38
"1861",11,38
"1862",12,38
"1863",13,38
"1864",14,38
"1865",15,38
"1866",16,38
"1867",17,38
"1868",18,38
"1869",19,38
"1870",20,38
"1871",21,38
"1872",22,38
"1873",23,38
"1874",24,38
"1875",25,38
"1876",26,38
"1877",27,38
"1878",28,38
"1879",29,38
"1880",30,38
"1881",31,38
"1882",32,38
"1883",33,38
"1884",34,38
"1885",35,38
"1886",36,38
"1887",37,38
"1888",38,38
"1889",39,38
"1890",40,38
"1891",41,38
"1892",42,38
"1893",43,38
"1894",44,38
"1895",45,38
"1896",46,38
"1897",47,38
"1898",48,38
"1899",49,38
"1900",50,38
"1901",1,39
"1902",2,39
"1903",3,39
"1904",4,39
"1905",5,39
"1906",6,39
"1907",7,39
"1908",8,39
"1909",9,39
"1910",10,39
"1911",11,39
"1912",12,39
"1913",13,39
"1914",14,39
"1915",15,39
"1916",16,39
"1917",17,39
"1918",18,39
"1919",19,39
"1920",20,39
"1921",21,39
"1922",22,39
"1923",23,39
"1924",24,39
"1925",25,39
"1926",26,39
"1927",27,39
"1928",28,39
"1929",29,39
"1930",30,39
"1931",31,39
"1932",32,39
"1933",33,39
"1934",34,39
"1935",35,39
"1936",36,39
"1937",37,39
"1938",38,39
"1939",39,39
"1940",40,39
"1941",41,39
"1942",42,39
"1943",43,39
"1944",44,39
"1945",45,39
"1946",46,39
"1947",47,39
"1948",48,39
"1949",49,39
"1950",50,39
"1951",1,40
"1952",2,40
"1953",3,40
"1954",4,40
"1955",5,40
"1956",6,40
"1957",7,40
"1958",8,40
"1959",9,40
"1960",10,40
"1961",11,40
"1962",12,40
"1963",13,40
"1964",14,40
"1965",15,40
"1966",16,40
"1967",17,40
"1968",18,40
"1969",19,40
"1970",20,40
"1971",21,40
"1972",22,40
"1973",23,40
"1974",24,40
"1975",25,40
"1976",26,40
"1977",27,40
"1978",28,40
"1979",29,40
"1980",30,40
"1981",31,40
"1982",32,40
"1983",33,40
"1984",34,40
"1985",35,40
"1986",36,40
"1987",37,40
"1988",38,40
"1989",39,40
"1990",40,40
"1991",41,40
"1992",42,40
"1993",43,40
"1994",44,40
"1995",45,40
"1996",46,40
"1997",47,40
"1998",48,40
"1999",49,40
"2000",50,40
"2001",1,41
"2002",2,41
"2003",3,41
"2004",4,41
"2005",5,41
"2006",6,41
"2007",7,41
"2008",8,41
"2009",9,41
"2010",10,41
"2011",11,41
"2012",12,41
"2013",13,41
"2014",14,41
"2015",15,41
"2016",16,41
"2017",17,41
"2018",18,41
"2019",19,41
"2020",20,41
"2021",21,41
"2022",22,41
"2023",23,41
"2024",24,41
"2025",25,41
"2026",26,41
"2027",27,41
"2028",28,41
"2029",29,41
"2030",30,41
"2031",31,41
"2032",32,41
"2033",33,41
"2034",34,41
"2035",35,41
"2036",36,41
"2037",37,41
"2038",38,41
"2039",39,41
"2040",40,41
"2041",41,41
"2042",42,41
"2043",43,41
"2044",44,41
"2045",45,41
"2046",46,41
"2047",47,41
"2048",48,41
"2049",49,41
"2050",50,41
"2051",1,42
"2052",2,42
"2053",3,42
"2054",4,42
"2055",5,42
"2056",6,42
"2057",7,42
"2058",8,42
"2059",9,42
"2060",10,42
"2061",11,42
"2062",12,42
"2063",13,42
"2064",14,42
"2065",15,42
"2066",16,42
"2067",17,42
"2068",18,42
"2069",19,42
"2070",20,42
"2071",21,42
"2072",22,42
"2073",23,42
"2074",24,42
"2075",25,42
"2076",26,42
"2077",27,42
"2078",28,42
"2079",29,42
"2080",30,42
"2081",31,42
"2082",32,42
"2083",33,42
"2084",34,42
"2085",35,42
"2086",36,42
"2087",37,42
"2088",38,42
"2089",39,42
"2090",40,42
"2091",41,42
"2092",42,42
"2093",43,42
"2094",44,42
"2095",45,42
"2096",46,42
"2097",47,42
"2098",48,42
"2099",49,42
"2100",50,42
"2101",1,43
"2102",2,43
"2103",3,43
"2104",4,43
"2105",5,43
"2106",6,43
"2107",7,43
"2108",8,43
"2109",9,43
"2110",10,43
"2111",11,43
"2112",12,43
"2113",13,43
"2114",14,43
"2115",15,43
"2116",16,43
"2117",17,43
"2118",18,43
"2119",19,43
"2120",20,43
"2121",21,43
"2122",22,43
"2123",23,43
"2124",24,43
"2125",25,43
"2126",26,43
"2127",27,43
"2128",28,43
"2129",29,43
"2130",30,43
"2131",31,43
"2132",32,43
"2133",33,43
"2134",34,43
"2135",35,43
"2136",36,43
"2137",37,43
"2138",38,43
"2139",39,43
"2140",40,43
"2141",41,43
"2142",42,43
"2143",43,43
"2144",44,43
"2145",45,43
"2146",46,43
"2147",47,43
"2148",48,43
"2149",49,43
"2150",50,43
"2151",1,44
"2152",2,44
"2153",3,44
"2154",4,44
"2155",5,44
"2156",6,44
"2157",7,44
"2158",8,44
"2159",9,44
"2160",10,44
"2161",11,44
"2162",12,44
"2163",13,44
"2164",14,44
"2165",15,44
"2166",16,44
"2167",17,44
"2168",18,44
"2169",19,44
"2170",20,44
"2171",21,44
"2172",22,44
"2173",23,44
"2174",24,44
"2175",25,44
"2176",26,44
"2177",27,44
"2178",28,44
"2179",29,44
"2180",30,44
"2181",31,44
"2182",32,44
"2183",33,44
"2184",34,44
"2185",35,44
"2186",36,44
"2187",37,44
"2188",38,44
"2189",39,44
"2190",40,44
"2191",41,44
"2192",42,44
"2193",43,44
"2194",44,44
"2195",45,44
"2196",46,44
"2197",47,44
"2198",48,44
"2199",49,44
"2200",50,44
"2201",1,45
"2202",2,45
"2203",3,45
"2204",4,45
"2205",5,45
"2206",6,45
"2207",7,45
"2208",8,45
"2209",9,45
"2210",10,45
"2211",11,45
"2212",12,45
"2213",13,45
"2214",14,45
"2215",15,45
"2216",16,45
"2217",17,45
"2218",18,45
"2219",19,45
"2220",20,45
"2221",21,45
"2222",22,45
"2223",23,45
"2224",24,45
"2225",25,45
"2226",26,45
"2227",27,45
"2228",28,45
"2229",29,45
"2230",30,45
"2231",31,45
"2232",32,45
"2233",33,45
"2234",34,45
"2235",35,45
"2236",36,45
"2237",37,45
"2238",38,45
"2239",39,45
"2240",40,45
"2241",41,45
"2242",42,45
"2243",43,45
"2244",44,45
"2245",45,45
"2246",46,45
"2247",47,45
"2248",48,45
"2249",49,45
"2250",50,45
"2251",1,46
"2252",2,46
"2253",3,46
"2254",4,46
"2255",5,46
"2256",6,46
"2257",7,46
"2258",8,46
"2259",9,46
"2260",10,46
"2261",11,46
"2262",12,46
"2263",13,46
"2264",14,46
"2265",15,46
"2266",16,46
"2267",17,46
"2268",18,46
"2269",19,46
"2270",20,46
"2271",21,46
"2272",22,46
"2273",23,46
"2274",24,46
"2275",25,46
"2276",26,46
"2277",27,46
"2278",28,46
"2279",29,46
"2280",30,46
"2281",31,46
"2282",32,46
"2283",33,46
"2284",34,46
"2285",35,46
"2286",36,46
"2287",37,46
"2288",38,46
"2289",39,46
"2290",40,46
"2291",41,46
"2292",42,46
"2293",43,46
"2294",44,46
"2295",45,46
"2296",46,46
"2297",47,46
"2298",48,46
"2299",49,46
"2300",50,46
"2301",1,47
"2302",2,47
"2303",3,47
"2304",4,47
"2305",5,47
"2306",6,47
"2307",7,47
"2308",8,47
"2309",9,47
"2310",10,47
"2311",11,47
"2312",12,47
"2313",13,47
"2314",14,47
"2315",15,47
"2316",16,47
"2317",17,47
"2318",18,47
"2319",19,47
"2320",20,47
"2321",21,47
"2322",22,47
"2323",23,47
"2324",24,47
"2325",25,47
"2326",26,47
"2327",27,47
"2328",28,47
"2329",29,47
"2330",30,47
"2331",31,47
"2332",32,47
"2333",33,47
"2334",34,47
"2335",35,47
"2336",36,47
"2337",37,47
"2338",38,47
"2339",39,47
"2340",40,47
"2341",41,47
"2342",42,47
"2343",43,47
"2344",44,47
"2345",45,47
"2346",46,47
"2347",47,47
"2348",48,47
"2349",49,47
"2350",50,47
"2351",1,48
"2352",2,48
"2353",3,48
"2354",4,48
"2355",5,48
"2356",6,48
"2357",7,48
"2358",8,48
"2359",9,48
"2360",10,48
"2361",11,48
"2362",12,48
"2363",13,48
"2364",14,48
"2365",15,48
"2366",16,48
"2367",17,48
"2368",18,48
"2369",19,48
"2370",20,48
"2371",21,48
"2372",22,48
"2373",23,48
"2374",24,48
"2375",25,48
"2376",26,48
"2377",27,48
"2378",28,48
"2379",29,48
"2380",30,48
"2381",31,48
"2382",32,48
"2383",33,48
"2384",34,48
"2385",35,48
"2386",36,48
"2387",37,48
"2388",38,48
"2389",39,48
"2390",40,48
"2391",41,48
"2392",42,48
"2393",43,48
"2394",44,48
"2395",45,48
"2396",46,48
"2397",47,48
"2398",48,48
"2399",49,48
"2400",50,48
"2401",1,49
"2402",2,49
"2403",3,49
"2404",4,49
"2405",5,49
"2406",6,49
"2407",7,49
"2408",8,49
"2409",9,49
"2410",10,49
"2411",11,49
"2412",12,49
"2413",13,49
"2414",14,49
"2415",15,49
"2416",16,49
"2417",17,49
"2418",18,49
"2419",19,49
"2420",20,49
"2421",21,49
"2422",22,49
"2423",23,49
"2424",24,49
"2425",25,49
"2426",26,49
"2427",27,49
"2428",28,49
"2429",29,49
"2430",30,49
"2431",31,49
"2432",32,49
"2433",33,49
"2434",34,49
"2435",35,49
"2436",36,49
"2437",37,49
"2438",38,49
"2439",39,49
"2440",40,49
"2441",41,49
"2442",42,49
"2443",43,49
"2444",44,49
"2445",45,49
"2446",46,49
"2447",47,49
"2448",48,49
"2449",49,49
"2450",50,49
"2451",1,50
"2452",2,50
"2453",3,50
"2454",4,50
"2455",5,50
"2456",6,50
"2457",7,50
"2458",8,50
"2459",9,50
"2460",10,50
"2461",11,50
"2462",12,50
"2463",13,50
"2464",14,50
"2465",15,50
"2466",16,50
"2467",17,50
"2468",18,50
"2469",19,50
"2470",20,50
"2471",21,50
"2472",22,50
"2473",23,50
"2474",24,50
"2475",25,50
"2476",26,50
"2477",27,50
"2478",28,50
"2479",29,50
"2480",30,50
"2481",31,50
"2482",32,50
"2483",33,50
"2484",34,50
"2485",35,50
"2486",36,50
"2487",37,50
"2488",38,50
"2489",39,50
"2490",40,50
"2491",41,50
"2492",42,50
"2493",43,50
"2494",44,50
"2495",45,50
"2496",46,50
"2497",47,50
"2498",48,50
"2499",49,50
"2500",50,50
